Name,Owner_login,Accepted_PRs,URL
awesome-public-datasets,awesomedata,188,https://github.com/awesomedata/awesome-public-datasets
HowToCook,Anduin2017,470,https://github.com/Anduin2017/HowToCook
scikit-learn,scikit-learn,10999,https://github.com/scikit-learn/scikit-learn
cpython,python,35919,https://github.com/python/cpython
Apollo-11,chrislgarry,321,https://github.com/chrislgarry/Apollo-11
yt-dlp,yt-dlp,1552,https://github.com/yt-dlp/yt-dlp
html5-boilerplate,h5bp,698,https://github.com/h5bp/html5-boilerplate
gatsby,gatsbyjs,17928,https://github.com/gatsbyjs/gatsby
playwright,microsoft,11077,https://github.com/microsoft/playwright
excalidraw,excalidraw,3063,https://github.com/excalidraw/excalidraw
hoppscotch,hoppscotch,1190,https://github.com/hoppscotch/hoppscotch
fzf,junegunn,396,https://github.com/junegunn/fzf
syncthing,syncthing,2372,https://github.com/syncthing/syncthing
superset,apache,11162,https://github.com/apache/superset
element,ElemeFE,3229,https://github.com/ElemeFE/element
rails,rails,21897,https://github.com/rails/rails
Java,TheAlgorithms,1077,https://github.com/TheAlgorithms/Java
ML-For-Beginners,microsoft,351,https://github.com/microsoft/ML-For-Beginners
manim,3b1b,562,https://github.com/3b1b/manim
tesseract,tesseract-ocr,1324,https://github.com/tesseract-ocr/tesseract
design-resources-for-developers,bradtraversy,860,https://github.com/bradtraversy/design-resources-for-developers
spring-framework,spring-projects,787,https://github.com/spring-projects/spring-framework
awesome-nodejs,sindresorhus,401,https://github.com/sindresorhus/awesome-nodejs
Ventoy,ventoy,260,https://github.com/ventoy/Ventoy
leetcode,azl397985856,255,https://github.com/azl397985856/leetcode
Best-websites-a-programmer-should-visit,sdmg15,375,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
gpt4all,nomic-ai,305,https://github.com/nomic-ai/gpt4all
DeepLearning-500-questions,scutan90,302,https://github.com/scutan90/DeepLearning-500-questions
react-router,remix-run,1957,https://github.com/remix-run/react-router
normalize.css,necolas,56,https://github.com/necolas/normalize.css
Semantic-UI,Semantic-Org,356,https://github.com/Semantic-Org/Semantic-UI
