Name,Total_releases,URL
awesome-cpp,0,https://github.com/fffaraz/awesome-cpp
SecLists,21,https://github.com/danielmiessler/SecLists
material-design-icons,16,https://github.com/google/material-design-icons
alacritty,84,https://github.com/alacritty/alacritty
scrapy,34,https://github.com/scrapy/scrapy
localstack,65,https://github.com/localstack/localstack
awesome-flutter,0,https://github.com/Solido/awesome-flutter
guava,40,https://github.com/google/guava
awesome-scalability,0,https://github.com/binhnguyennus/awesome-scalability
you-get,118,https://github.com/soimort/you-get
moment,0,https://github.com/moment/moment
bulma,17,https://github.com/jgthms/bulma
docusaurus,128,https://github.com/facebook/docusaurus
openai-cookbook,0,https://github.com/openai/openai-cookbook
nuxt,195,https://github.com/nuxt/nuxt
git,0,https://github.com/git/git
awesome-android-ui,0,https://github.com/wasabeef/awesome-android-ui
RxJava,232,https://github.com/ReactiveX/RxJava
jekyll,107,https://github.com/jekyll/jekyll
anime,14,https://github.com/juliangarnier/anime
faceswap,4,https://github.com/deepfakes/faceswap
hacker-scripts,0,https://github.com/NARKOZ/hacker-scripts
v2rayN,159,https://github.com/2dust/v2rayN
prettier,104,https://github.com/prettier/prettier
rustdesk,11,https://github.com/rustdesk/rustdesk
d2l-zh,16,https://github.com/d2l-ai/d2l-zh
new-pac,0,https://github.com/Alvin9999/new-pac
clash,55,https://github.com/Dreamacro/clash
nerd-fonts,32,https://github.com/ryanoasis/nerd-fonts
kotlin,208,https://github.com/JetBrains/kotlin
tldr,2,https://github.com/tldr-pages/tldr
big-list-of-naughty-strings,0,https://github.com/minimaxir/big-list-of-naughty-strings
serverless,367,https://github.com/serverless/serverless
DefinitelyTyped,1,https://github.com/DefinitelyTyped/DefinitelyTyped
cypress,316,https://github.com/cypress-io/cypress
chinese-poetry,1,https://github.com/chinese-poetry/chinese-poetry
rich,157,https://github.com/Textualize/rich
gpt4free,7,https://github.com/xtekky/gpt4free
Real-Time-Voice-Cloning,0,https://github.com/CorentinJ/Real-Time-Voice-Cloning
learn-regex,0,https://github.com/ziishaned/learn-regex
traefik,397,https://github.com/traefik/traefik
okhttp,0,https://github.com/square/okhttp
etcd,225,https://github.com/etcd-io/etcd
algorithm-visualizer,0,https://github.com/algorithm-visualizer/algorithm-visualizer
whisper,6,https://github.com/openai/whisper
dayjs,115,https://github.com/iamkun/dayjs
Ghost,699,https://github.com/TryGhost/Ghost
awesome-ios,0,https://github.com/vsouza/awesome-ios
mastodon,206,https://github.com/mastodon/mastodon
meteor,0,https://github.com/meteor/meteor
pdf.js,55,https://github.com/mozilla/pdf.js
bun,92,https://github.com/oven-sh/bun
go-ethereum,175,https://github.com/ethereum/go-ethereum
